prog_id	gdc_project_id	disease_id	psi_id	primary_site	disease_context	cbioportal_study_id	mapping_status	recommended_mutation_source	notes	alternative_cbioportal_study_ids	review_notes
TCGA	TCGA-LIHC	LIHC	TCGA-LIHC	Liver	Liver hepatocellular carcinoma	lihc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-LUAD	LUAD	TCGA-LUAD	Bronchus and lung	Lung adenocarcinoma	luad_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-LUSC	LUSC	TCGA-LUSC	Bronchus and lung	Lung squamous cell carcinoma	lusc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-MESO	MESO	TCGA-MESO	Pleura	Mesothelioma	meso_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-OV	OV	TCGA-OV	Ovary	Ovarian serous cystadenocarcinoma	ov_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-PAAD	PAAD	TCGA-PAAD	Pancreas	Pancreatic adenocarcinoma	paad_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-PCPG	PCPG	TCGA-PCPG	Adrenal gland	Pheochromocytoma and paraganglioma	pcpg_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-PRAD	PRAD	TCGA-PRAD	Prostate gland	Prostate adenocarcinoma	prad_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-READ	READ	TCGA-READ	Rectum	Rectum adenocarcinoma	read_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-SARC	SARC	TCGA-SARC	Soft tissue	Sarcoma	sarc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-SKCM	SKCM	TCGA-SKCM	Skin	Skin cutaneous melanoma	skcm_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-STAD	STAD	TCGA-STAD	No subtypes found for 	Stomach adenocarcinoma	stad_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-TGCT	TGCT	TCGA-TGCT	Testis	Testicular germ cell tumors	tgct_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-THCA	THCA	TCGA-THCA	Thyroid gland	Thyroid carcinoma	thca_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-THYM	THYM	TCGA-THYM	Thymus	Thymoma	thym_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-UCEC	UTERUS	TCGA-UCEC	Uterus	Uterine corpus endometrial carcinoma	ucec_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-UCS	UTERUS	TCGA-UCS	Uterus	Uterine carcinosarcoma	ucs_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-UVM	UVM	TCGA-UVM	Eye	Uveal melanoma	uvm_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
CPTAC2	CPTAC-2	BRCA	BRCA	Breast	Breast cancer context	brca_cptac_2020	reviewed_candidate_cptac	GDC MAF first; cBioPortal only if mapping is validated	CPTAC breast may not map to one simple public mutation study.	breast_cptac_gdc	cBioPortal has BRCA CPTAC 2020 and Breast CPTAC GDC 2025; validate which matches your GDC subset.
CPTAC2	CPTAC-2	COAD	COAD-1	Colon / Rectum	Colon cancer / colorectal adenocarcinoma	coad_cptac_2019	curated_context_mapping	GDC MAF first; cBioPortal only if mapping is validated	Use only for colon/rectum context inside CPTAC-2.		
CPTAC2	CPTAC-2	COAD	COAD-2	Colon/Rectum	Colon cancer / colorectal adenocarcinoma	coad_cptac_2019	added_from_first_mapping_table	cBioPortal if validated; GDC MAF remains primary for GDC-native mutation files	Use for CPTAC-2 colon/rectum context.		This row was present in the first mapping table but absent from the auxiliary catalog.
CPTAC2	CPTAC-2	OV	OV-1	Ovary	Ovarian cancer, GDC 2025	ovary_cptac_gdc	added_from_first_mapping_table	cBioPortal if validated; GDC MAF remains primary for GDC-native mutation files	Validate current availability in cBioPortal.		This row was present in the first mapping table but absent from the auxiliary catalog.
CPTAC2	CPTAC-2	OV	OV-2	Ovary / Peritoneum / female genital organs	Ovarian/peritoneal carcinoma context	ovary_cptac_gdc	candidate_validate	GDC MAF first; cBioPortal only if mapping is validated	Validate exact cBioPortal study and diagnosis before use.		
CPTAC3	CPTAC-3	BRAIN	BRAIN	Brain	Pediatric brain cancer	brain_cptac_2020	candidate_validate	GDC MAF first; cBioPortal only if mapping is validated	Check exact primary_site/diagnosis before mapping.		
CPTAC3	CPTAC-3	BRCA	BRCA	Breast	Breast cancer context	brca_cptac_2020	reviewed_candidate_cptac	GDC MAF first; cBioPortal only if mapping is validated	Validate cBioPortal study.	breast_cptac_gdc	cBioPortal has BRCA CPTAC 2020 and Breast CPTAC GDC 2025; validate which matches your GDC subset.
CPTAC3	CPTAC-3	LUAD	LUAD	Bronchus and lung	Lung adenocarcinoma	luad_cptac_2020	curated_context_mapping	GDC MAF first; cBioPortal only if mapping is validated	Requires diagnosis/histology to separate LUAD from LUSC.		
CPTAC3	CPTAC-3	LUAD	LUAD_GDC	Bronchus and lung	Lung adenocarcinoma, GDC 2025	luad_cptac_gdc	added_from_first_mapping_table	cBioPortal if validated; GDC MAF remains primary for GDC-native mutation files	Validate current availability in cBioPortal.		This row was present in the first mapping table but absent from the auxiliary catalog.
CPTAC3	CPTAC-3	LUSC	LUSC	Bronchus and lung	Lung squamous cell carcinoma	lusc_cptac_2021	curated_context_mapping	GDC MAF first; cBioPortal only if mapping is validated	Requires diagnosis/histology to separate LUAD from LUSC.		
CPTAC3	CPTAC-3	LUSC	LUSC_GDC	Bronchus and lung	Lung squamous cell carcinoma, GDC 2025	lusc_cptac_gdc	added_from_first_mapping_table	cBioPortal if validated; GDC MAF remains primary for GDC-native mutation files	Validate current availability in cBioPortal.		This row was present in the first mapping table but absent from the auxiliary catalog.
CPTAC3	CPTAC-3	HEAD_NECK	HEAD_NECK_GDC-1	Head and neck	Head and neck carcinoma, GDC 2025	ohnca_cptac_gdc	added_from_first_mapping_table	cBioPortal if validated; GDC MAF remains primary for GDC-native mutation files	Validate current availability in cBioPortal.		This row was present in the first mapping table but absent from the auxiliary catalog.
CPTAC3	CPTAC-3	HEAD_NECK	HEAD_NECK_GDC-2	Head and neck / oral cavity / tongue / tonsil / larynx / lip / gum	Head and neck carcinoma	ohnca_cptac_gdc	candidate_validate	GDC MAF first; cBioPortal only if mapping is validated	Validate exact cBioPortal study and diagnosis before use.		
CPTAC3	CPTAC-3	KIDNEY	KIDNEY	Kidney	Kidney cancer context	rcc_cptac_gdc	reviewed_candidate_cptac	GDC MAF first; cBioPortal only if mapping is validated	Multiple kidney histologies possible; validate cBioPortal study.		cBioPortal has Renal Cell Carcinoma (CPTAC GDC, 2025).
CPTAC3	CPTAC-3	PAAD	PAAD_GDC-1	Pancreas	Pancreatic cancer, GDC 2025	pancreas_cptac_gdc	added_from_first_mapping_table	cBioPortal if validated; GDC MAF remains primary for GDC-native mutation files	Validate current availability in cBioPortal.		This row was present in the first mapping table but absent from the auxiliary catalog.
CPTAC3	CPTAC-3	PAAD	PAAD_GDC-2	Pancreas	Pancreatic cancer, GDC-imported context	pancreas_cptac_gdc	candidate_validate	GDC MAF first; cBioPortal only if mapping is validated	Alternative newer GDC-imported cBioPortal study if available.		
CPTAC3	CPTAC-3	PAAD	PAAD	Pancreas	Pancreatic ductal adenocarcinoma	paad_cptac_2021	curated_context_mapping	GDC MAF first; cBioPortal only if mapping is validated	Use only when primary_site=Pancreas.		
CPTAC3	CPTAC-3	STAD	STAD	Stomach	Gastric/stomach cancer context		no_clear_cbioportal_study_found	GDC MAF first; cBioPortal only if mapping is validated	Validate cBioPortal study.		I did not find a clear public CPTAC stomach/stad study ID in cBioPortal search; keep GDC MAF-first.
CPTAC3	CPTAC-3	UTERUS	UTERUS	Uterus	Uterine cancer context	uec_cptac_gdc	reviewed_candidate_cptac	GDC MAF first; cBioPortal only if mapping is validated	Validate cBioPortal study.	ucec_cptac_2020	cBioPortal has Uterine Endometrioid Carcinoma CPTAC GDC 2025 and Endometrial Carcinoma CPTAC 2020.
TARGET	TARGET-ALL-P1	LEUK_LYMPH1	TARGET-LEUK_LYMPH1	Blood / bone marrow	Acute lymphoblastic leukemia, Phase 1	bll_target_gdc	reviewed_candidate_target_gdc	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.	all_phase2_target_2018_pub	Use GDC 2025 B-lymphoblastic leukemia target study; ALL-P1/P2 distinction may require sample-level validation.
TARGET	TARGET-ALL-P2	LEUK_LYMPH2	TARGET-LEUK_LYMPH2	Blood / bone marrow	Acute lymphoblastic leukemia, Phase 2	all_phase2_target_2018_pub	reviewed_target_public	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.	bll_target_gdc	Phase II TARGET ALL public study exists; GDC 2025 BLL also exists.
TARGET	TARGET-AML	AML	TARGET-AML	Blood / bone marrow	Acute myeloid leukemia	aml_target_gdc	reviewed_target_gdc	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.		cBioPortal has Acute Myeloid Leukemia (TARGET GDC, 2025).
TARGET	TARGET-CCSK	KIDNEY	TARGET-KIDNEY	Kidney	Clear cell sarcoma of kidney		no_clear_cbioportal_study_found	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.		No clear CCSK cBioPortal study found in broad studies search; keep GDC MAF-first.
TARGET	TARGET-NBL	NEUROBLAST	TARGET-NEUROBLAST	PAAD_GDC	Neuroblastoma	nbl_target_gdc	reviewed_target_gdc	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.	nbl_target_2018_pub	cBioPortal has Neuroblastoma TARGET GDC 2025 and TARGET 2018 public.
TARGET	TARGET-OS	OSTEO	TARGET-OSTEO	Bone	Osteosarcoma	os_target_gdc	reviewed_target_gdc	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.		cBioPortal has Osteosarcoma (TARGET GDC, 2025).
TARGET	TARGET-RT	RHABDOID	TARGET-RHABDOID	Kidney / soft tissue / brain	Rhabdoid tumor	rt_target_2018_pub	reviewed_target_public	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.		cBioPortal has Pediatric Rhabdoid Tumor (TARGET, 2018).
TARGET	TARGET-WT	WILMS	TARGET-WILMS	Kidney	Wilms tumor	wt_target_gdc	reviewed_target_gdc	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal TARGET study by /api/studies.	wt_target_2018_pub	cBioPortal has Wilms Tumor TARGET GDC 2025 and TARGET 2018 public.
HCMI	HCMI-CMDC	MULTIPLE		Multiple	Cancer Model Development Center; patient-derived cancer models		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Model cohort; not one disease-to-study mapping. Prefer GDC project/case metadata.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
ORGANOID	ORGANOID-PANCREATIC	PAAD		Pancreas	Pancreatic cancer organoid context		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	May not have a simple public cBioPortal mutation study.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-BLGSP	B URKITT_LYMPH		Lymph nodes / blood	Burkitt lymphoma genome sequencing project		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-CC	CESC		Cervix uteri	Cervical cancer		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-DCC	COAD		Colon / rectum	Colorectal cancer context		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-DLBCL	LYMPH_NODES		Lymph nodes	Diffuse large B-cell lymphoma		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-LC	LUNG		Bronchus and lung	Lung cancer		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-MBL	MEDULLOB		Brain	Medulloblastoma		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-MESO	PLEURA		Pleura	Mesothelioma		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-PAAD	PAAD		Pancreas	Pancreatic cancer		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-PRAD	PRAD		Prostate gland	Prostate cancer		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-RCC	KIDNEY		Kidney	Renal cell carcinoma		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-SCC	HEAD_NECK		Head and neck / oral cavity	Squamous cell carcinoma context		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CGCI	CGCI-HTMCP-WT	KIDNEY		Kidney	Wilms tumor		manual_or_gdc_maf_first	GDC MAF first; cBioPortal only if mapping is validated	Use GDC MAF first. Validate any cBioPortal study by /api/studies.		No safe one-to-one cBioPortal study mapping filled; use GDC MAF or validate through /api/studies.
CCLE	CCLE-BRCA	BRCA	CCLE-BRCA	Breast	Breast cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-CESC	CESC	CCLE-CESC	Cervix uteri	Cervical cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-COADREAD	COAD	CCLE-COAD	Colon / Rectum	Colorectal cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-GBM	GLIO	CCLE-GLIO	Brain	Glioblastoma cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-HNSC	HEAD_NECK	CCLE-HEAD_NECK	Head and neck	Head and neck cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-LAML	AML	CCLE-AML	AML	Acute myeloid leukemia cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-LCML	CML	CCLE-CML	CML	Chronic myeloid leukemia cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-LUAD	LUNG	CCLE-LUAD	Bronchus and lung	Lung adenocarcinoma cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-LUSC	LUNG	CCLE-LUSC	Bronchus and lung	Lung squamous carcinoma cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-MESO	PLEURA	CCLE-PLEURA	Pleura	Mesothelioma cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-OV	OV	CCLE-OV	Ovary	Ovarian cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-PAAD	PAAD	CCLE-PAAD	Pancreas	Pancreatic cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-SKCM	SKCM	CCLE-SKCM	Skin	Melanoma cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-STAD	STAD	CCLE-STAD	Stomach	Stomach cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
CCLE	CCLE-UCEC	UTERUS	CCLE-UTERUS	Uterus	Endometrial cancer cell lines	ccle_broad_2019	reviewed_ccle_mixed_study	GDC MAF first; cBioPortal only if mapping is validated	For cBioPortal, prefer direct cell-line study lookup rather than inferring from GDC project_id.	ccle_broad_2025; cellline_ccle_broad	cBioPortal CCLE is a mixed cell-line study; filter samples by cancer type/cell line metadata rather than expecting one study per GDC CCLE project.
